taxa_id;W;detected_0.9;detected_0.8;detected_0.7;detected_0.6
Otu0435;0;FALSE;FALSE;FALSE;FALSE
Otu0438;0;FALSE;FALSE;FALSE;FALSE
Otu0439;0;FALSE;FALSE;FALSE;FALSE
Otu0441;0;FALSE;FALSE;FALSE;FALSE
Otu0443;0;FALSE;FALSE;FALSE;FALSE
Otu0444;0;FALSE;FALSE;FALSE;FALSE
Otu0447;0;FALSE;FALSE;FALSE;FALSE
Otu0448;0;FALSE;FALSE;FALSE;FALSE
Otu0450;0;FALSE;FALSE;FALSE;FALSE
Otu0453;0;FALSE;FALSE;FALSE;FALSE
Otu0454;0;FALSE;FALSE;FALSE;FALSE
Otu0456;0;FALSE;FALSE;FALSE;FALSE
Otu0460;Inf;TRUE;TRUE;TRUE;TRUE
Otu0461;0;FALSE;FALSE;FALSE;FALSE
Otu0462;0;FALSE;FALSE;FALSE;FALSE
Otu0463;0;FALSE;FALSE;FALSE;FALSE
Otu0465;0;FALSE;FALSE;FALSE;FALSE
Otu0466;0;FALSE;FALSE;FALSE;FALSE
Otu0467;0;FALSE;FALSE;FALSE;FALSE
Otu0471;Inf;TRUE;TRUE;TRUE;TRUE
Otu0473;0;FALSE;FALSE;FALSE;FALSE
Otu0474;0;FALSE;FALSE;FALSE;FALSE
Otu0477;0;FALSE;FALSE;FALSE;FALSE
Otu0481;0;FALSE;FALSE;FALSE;FALSE
Otu0483;0;FALSE;FALSE;FALSE;FALSE
Otu0486;0;FALSE;FALSE;FALSE;FALSE
Otu0487;0;FALSE;FALSE;FALSE;FALSE
Otu0494;0;FALSE;FALSE;FALSE;FALSE
Otu0496;0;FALSE;FALSE;FALSE;FALSE
Otu0499;0;FALSE;FALSE;FALSE;FALSE
Otu0500;0;FALSE;FALSE;FALSE;FALSE
Otu0501;0;FALSE;FALSE;FALSE;FALSE
Otu0502;0;FALSE;FALSE;FALSE;FALSE
Otu0503;0;FALSE;FALSE;FALSE;FALSE
Otu0508;Inf;TRUE;TRUE;TRUE;TRUE
Otu0509;0;FALSE;FALSE;FALSE;FALSE
Otu0513;0;FALSE;FALSE;FALSE;FALSE
Otu0518;0;FALSE;FALSE;FALSE;FALSE
Otu0520;0;FALSE;FALSE;FALSE;FALSE
Otu0526;Inf;TRUE;TRUE;TRUE;TRUE
Otu0528;0;FALSE;FALSE;FALSE;FALSE
Otu0530;0;FALSE;FALSE;FALSE;FALSE
Otu0531;Inf;TRUE;TRUE;TRUE;TRUE
Otu0537;0;FALSE;FALSE;FALSE;FALSE
