"";"baseMean";"log2FoldChange";"lfcSE";"stat";"pvalue";"padj"
"Otu0131";11,7643809841929;1,10835355056722;1,86848927544076;0,59318164954721;0,553059592063072;0,998932861296266
"Otu0133";5,9048505235387;0,575915402868506;1,89804723177579;0,303425222105609;0,761565826663863;0,998932861296266
"Otu0134";5,1989119773117;-0,0753672839328651;1,9895395368709;-0,0378817724082031;0,969781946128102;0,998932861296266
"Otu0136";1,64251717632929;-1,62563225584013;2,9529698658336;-0,550507566856333;0,581971288311168;0,998932861296266
"Otu0138";24,5936176667719;0,792727019607232;1,61857619595515;0,489768119405358;0,624297992601149;0,998932861296266
"Otu0139";20,3729923775737;0,00419918123920755;1,49975613992814;0,00279990935020192;0,997765998476733;0,998932861296266
"Otu0140";3,20617455956019;0,207554096128057;2,40627797693554;0,0862552448709119;0,931263515243582;0,998932861296266
"Otu0141";5,00065815861653;3,31436820716674;1,7860028045685;1,85574636203749;0,0634897191554039;0,998932861296266
"Otu0142";0,985422670348022;1,90949833878739;2,70646712363054;0,70553169558769;0,480479414381801;0,998932861296266
"Otu0143";10,322407813411;-0,00958321764514211;1,80943160026205;-0,0052962585840516;0,995774216801561;0,998932861296266
"Otu0144";1,8412140826718;3,71827903782864;2,90511904698151;1,27990591011822;0,200578228829426;0,998932861296266
"Otu0145";13,0508347316386;-0,579233641271454;1,3555983950739;-0,427290002242794;0,669168113896905;0,998932861296266
"Otu0146";0,294107879757917;-1,30539911013769;3,01662314933986;-0,432735229265664;0,665207133122721;0,998932861296266
"Otu0148";1,42843405476509;-2,20229892109068;2,7152538517714;-0,811083987470979;0,417317440727378;0,998932861296266
"Otu0149";0,253081056951824;-1,15017622287108;3,02574053261733;-0,380130487221968;0,703848555876079;0,998932861296266
"Otu0150";15,2959014657885;0,148060067101948;1,28738410895868;0,115008462564998;0,908438414398984;0,998932861296266
"Otu0151";0,732677958023168;-0,294181373692455;3,00677818029816;-0,0978394001992136;0,922059820619558;0,998932861296266
"Otu0152";0,764347406370882;-1,76385620815372;2,57086878616936;-0,686093439557412;0,492654187650973;0,998932861296266
"Otu0153";17,063051425382;0,229353948771796;1,51752051248251;0,151137297245884;0,879867411470969;0,998932861296266
"Otu0154";0,898129441668526;1,30365339724126;2,73718661949927;0,476274941560158;0,633878515230011;0,998932861296266
